url	Claim	Trust
https://www.politifact.com/factchecks/2022/nov/21/instagram-posts/trump-didnt-tweet-nov-19/	Trump tweeted about his return to Twitter on Nov. 19.	pants-fire
https://www.politifact.com/factchecks/2022/nov/21/instagram-posts/no-the-arizona-governors-election-wasnt-fraudulent/	The Arizona gubernatorial race was a “fraudulent election.”	pants-fire
https://www.politifact.com/factchecks/2022/nov/21/viral-image/no-philanthropist-bill-gates-didnt-say-death-panel/	Viral image-“Bill Gates tells G20 world leaders that ‘death panels’ will soon be required.”	pants-fire
https://www.politifact.com/factchecks/2022/nov/18/instagram-posts/pelosi-wasnt-arrested-by-us-marshals-in-2021/	A fake Nancy Pelosi said she won’t seek the speaker position again because the real Pelosi was arrested in 2021.	pants-fire
https://www.politifact.com/factchecks/2022/nov/18/viral-image/social-media-followings-katie-hobbs-kari-lake-not/	Viral image-The number of followers Katie Hobbs and Kari Lake have on Instagram suggests election fraud.	pants-fire
https://www.politifact.com/factchecks/2022/nov/17/donald-trump/trump-vastly-understates-how-much-experts-expect-s/	Donald Trump-They say the ocean will rise one-eighth of an inch over the next 200 to 300 years.	pants-fire
https://www.politifact.com/factchecks/2022/nov/17/instagram-posts/no-bags-ballots-are-not-sign-fraud-maricopa-county/	Bags arriving at the Maricopa County vote counting site are evidence of “Democrats with the help of the media and GOP establishment stealing another election.”	pants-fire
https://www.politifact.com/factchecks/2022/nov/17/viral-image/claims-about-european-royals-hunting-humans-are-un/	Viral image-“European royals killing naked children for fun at hunting parties.”	pants-fire
https://www.politifact.com/factchecks/2022/nov/17/viral-image/photos-show-jeff-bezos-not-his-clone/	Viral image-Photo shows Jeff Bezos’s clone.	pants-fire
https://www.politifact.com/factchecks/2022/nov/16/viral-image/this-isnt-a-real-cnn-headline-about-a-florida-man/	Viral image-“Florida man arrested for using a lost U.S. nuke to power his home for more than 27 years.”	pants-fire
https://www.politifact.com/factchecks/2022/nov/16/instagram-posts/desantis-fauci-and-others-are-not-diamond-mining-b/	Dr. Anthony Fauci, Ron DeSantis and others “are ALL in a diamond mining business in Oklahoma together!”	pants-fire
https://www.politifact.com/factchecks/2022/nov/16/instagram-posts/split-ticket-votes-in-arizona-arent-evidence-of-fr/	Split election results show the Arizona governor’s race was rigged.	pants-fire
https://www.politifact.com/factchecks/2022/nov/15/viral-image/no-alexa-doesnt-confirm-michelle-obama-was-born-mi/	Viral image-Amazon’s Alexa confirms Michelle Obama “was born Michael LaVaughn Robinson.”	pants-fire
https://www.politifact.com/factchecks/2022/nov/15/viral-image/pennsylvania-senate-race-wasnt-rigged/	Viral image-No, the Pennsylvania Senate race wasn’t ‘rigged’	pants-fire
https://www.politifact.com/factchecks/2022/nov/11/donald-trump/trump-falsely-said-he-stopped-2018-election-being/	"Donald Trump-In the 2018 Florida governor's race ""votes were being stolen by the corrupt election process in Broward. … I sent in the FBI and the U.S. Attorneys, and the ballot theft immediately ended. … I stopped his Election from being stolen."	pants-fire
https://www.politifact.com/factchecks/2022/nov/11/donald-trump/trump-falsely-claims-nevada-and-arizona-election-o/	Donald Trump-Election results in Clark County, Nevada, and Arizona are not yet known because those places “want more time to cheat.”	pants-fire
https://www.politifact.com/factchecks/2022/nov/11/instagram-posts/no-democrats-didnt-steal-every-election-in-the-cou/	Democrats used “47 million mail-in ballots” to steal “every election in the country.”	pants-fire
https://www.politifact.com/factchecks/2022/nov/11/viral-image/no-this-isnt-video-evidence-of-election-fraud-in-p/	Viral image-Video shows a Philadelphia poll worker committing election fraud.	pants-fire
https://www.politifact.com/factchecks/2022/nov/11/viral-image/no-these-arent-photos-of-trashed-2022-election-bal/	Viral image-Photos shows 2022 “midterm ballots in trash.”	pants-fire
https://www.politifact.com/factchecks/2022/nov/10/instagram-posts/large-social-media-followings-dont-ensure-election/	The number of followers John Fetterman and Mehmet Oz have on Instagram proves the Pennsylvania Senate race was illegitimate.	pants-fire
https://www.politifact.com/factchecks/2022/nov/10/instagram-posts/no-this-graph-doesnt-prove-gretchen-whitmer-stole/	Graph shows Gretchen Whitmer stole the Michigan gubernatorial election.	pants-fire
https://www.politifact.com/factchecks/2022/nov/10/instagram-posts/map-does-not-prove-pennsylvania-election-was-rigge/	Map proves the Pennsylvania Senate election was rigged.	pants-fire
https://www.politifact.com/factchecks/2022/nov/10/instagram-posts/no-the-michigan-attorney-generals-race-wasnt-stole/	The Michigan attorney general’s race was “stolen in the middle of the night from Matt DePerno.”	pants-fire
https://www.politifact.com/factchecks/2022/nov/09/instagram-posts/scott-jensen-conceded-minnesota-gubernatorial-race/	“Minnesota was stolen from Scott Jensen.”	pants-fire
https://www.politifact.com/factchecks/2022/nov/09/viral-image/no-five-children-didnt-disappear-from-a-chuck-e-ch/	Viral image-USA Today reported that “5 children have gone missing inside a Chuck E. Cheese.”	pants-fire
https://www.politifact.com/factchecks/2022/nov/09/charlie-kirk/charlie-kirk-wrong-maricopa-county-did-not-reduce/	Charlie Kirk-“Maricopa County intentionally reduced the polling places.”	pants-fire
https://www.politifact.com/factchecks/2022/nov/09/viral-image/pennsylvania-ballot-deadline-was-8-pm-nov-8-not-no/	Viral image-“Pennsylvania judge allows ballots to count that are received up until November 14th.”	pants-fire
https://www.politifact.com/factchecks/2022/nov/08/instagram-posts/no-twitter-didnt-send-a-meme-to-fire-an-employee/	A Twitter employee was laid off after receiving a meme.	pants-fire
