CHANNEL_ID,CHANNEL_TITLE,CHANNEL_VIEWS,COUNTRY,RELEVANCE,SUBS,CHANNEL_LIFETIME_DAILY_VIEWS,CHANNEL_LIFETIME_DAILY_VIEWS_RELEVANT,CHANNEL_VIDEO_VIEWS,RELEVANT_IMPRESSIONS_DAILY,RELEVANT_IMPRESSIONS_IN_DAILY,VIDEO_VIEWS_DAILY,RELEVANT_VIDEO_VIEWS_DAILY,AVG_MINUTES,FROM_DATE,TO_DATE,LR,TAGS,IDEOLOGY,MEDIA,LOGO_URL
UC5RwNJQSINkzIazWaM-lM3Q,HOT 97,1575098029,US,0.75,3580000,276685.316344,276685.316344,1574339450,55313.137558606,92091.497193039,246023.047567568,184517.285675676,13.252211,2006-10-15T00:00:00.0000000Z,2022-05-14T00:00:00.0000000Z,L,"[
  ""Black"",
  ""SocialJustice""
]",Black,YouTube,https://yt3.ggpht.com/ytc/AKedOLSeX__uz7F0UvV66I-coH9Ahu58h1LC3a6U-_s09dA=s88-c-k-c0x00ffffff-no-rj
UCQDi6WZ1BK6PYqdOuaSK0RA,Dog Whisperer BIG CHUCK MCBRIDE,14523442,US,0.9,54100,3997.530915,3997.530915,14547015,182.275258699,180.619694107,1240.394594595,1116.355135135,6.089506,2012-05-03T00:00:00.0000000Z,2022-04-20T00:00:00.0000000Z,R,"[
  ""AntiSJW"",
  ""PartisanRight""
]",Anti-SJW,YouTube,https://yt3.ggpht.com/wpkmeZm_66aGx5t2MVstMftvp6EzCCVYHLklSvkuHEl1Hj40mwwhatcKxekufzdAXVzQflZwsYI=s88-c-k-c0x00ffffff-no-rj
UCzFso4CAgqfYCD6giOWrnlw,ISM Palestine,8885313,DE,0.8,20500,2591.672791,2591.672791,8886846,19.100092177,5.345068448,546.349189189,437.079351351,2.220183,2012-08-16T00:00:00.0000000Z,2022-01-05T00:00:00.0000000Z,L,"[
  ""Mainstream News""
]",Center/Left MSM,Mainstream Media,https://yt3.ggpht.com/ytc/AKedOLQFE4amDYpLPX1oIJE3lGDMAocx3hYEmqVVi9GE=s88-c-k-c0x00ffffff-no-rj
UCgtHh2UfO6INBFsvqd6lb8A,Nick Cani,5897156,,0.9,12500,4109.836237,4109.836237,5897615,8.946419293,8.183181639,101.379459459,91.241513514,16.142857,2016-04-19T00:00:00.0000000Z,2020-03-24T00:00:00.0000000Z,R,"[
  ""PartisanRight""
]",Partisan Right,YouTube,https://yt3.ggpht.com/ytc/AKedOLRIn7awkK_kSpmLpfxa-J5O8MLOJW65P-jE0WU5FQ=s88-c-k-c0x00ffffff-no-rj
UCiWKxPMKUBFjN3Ny_VxpkYw,Cordial Curiosity,1074609,US,1,16900,550.982097,550.982097,1077170,453.829468767,724.607649849,438.148108108,438.148108108,30.068027,2016-11-20T00:00:00.0000000Z,2022-03-29T00:00:00.0000000Z,C,"[
  ""AntiTheist""
]",Anti-theist,YouTube,https://yt3.ggpht.com/ytc/AKedOLQBWIidLyI6UmJY4c1IrIur764_MYtW9F3jqaEgdw=s88-c-k-c0x00ffffff-no-rj
UCtWWry0cgjWi9C0Ye9sh6og,news.com.au,437650857,AU,0.8,495000,370303.505485,370303.505485,438809654,485153.60965614,213466.230397532,469957.380540541,375965.904432432,3.067748,2019-02-14T00:00:00.0000000Z,2022-05-14T00:00:00.0000000Z,C,"[
  ""Mainstream News""
]",Center/Left MSM,Mainstream Media,https://yt3.ggpht.com/ytc/AKedOLT5-XhcY9bIRcDNFD-uP_PxgsMzN3dQn9fLBGmU=s88-c-k-c0x00ffffff-no-rj
UCte6nABMbeDS81p_rOvLYPQ,Whanhee,1786222,,0.9,11300,3461.986434,3461.986434,1786385,287.019900652,114.278991252,146.019459459,131.417513514,5.615385,2016-08-08T00:00:00.0000000Z,2018-01-06T00:00:00.0000000Z,C,"[
  ""AntiSJW"",
  ""ReligiousConservative""
]",Anti-SJW,YouTube,https://yt3.ggpht.com/ytc/AKedOLR8DTFLFPI9Ug2n36oTkbR811JBgZyK_e3_47Iz=s88-c-k-c0x00ffffff-no-rj
UCc9UUSOBWC6VCkJUqnh-CLw,MintPressNews,1295393,,1,25800,354.878464,354.878464,1293532,2266.156945526,148.223382898,539.905945946,539.905945946,21.888021,2012-05-19T00:00:00.0000000Z,2022-05-12T00:00:00.0000000Z,C,[],Unclassified,YouTube,https://yt3.ggpht.com/akSbn3i4bRB0N8Y8zpwRSvhjMk9sgJ5DHjnWHON9LLVW2FZtkJsl4Om-zZWQoebDcgnnKqIKSA0=s88-c-k-c0x00ffffff-no-rj
UCsu-iJAHNytFUWZgNHtrNWw,Mind over Matrix,1648135,US,1,53100,8679.266108,8679.266108,13470221,2.927656389,0.00694212973,69.737297297,69.737297297,13.918239,2012-07-26T00:00:00.0000000Z,2016-10-25T00:00:00.0000000Z,R,"[
  ""Conspiracy"",
  ""ReligiousConservative""
]",Conspiracy,YouTube,https://yt3.ggpht.com/ytc/AKedOLRLhoogDFkLLA221JJ8FCAhIt-G0Nc66Hsxvz0wNw=s88-c-k-c0x00ffffff-no-rj
UCy1UzIJf_Dog0vzLJUPLXHA,Brave New Films,58395716,US,1,122000,9859.924457,9859.924457,57690418,457.952546843,4806.679781246,1115.84972973,1115.84972973,7.190898,2006-04-27T00:00:00.0000000Z,2022-05-04T00:00:00.0000000Z,L,"[
  ""PartisanLeft""
]",Partisan Left,YouTube,https://yt3.ggpht.com/ytc/AKedOLQF8iPc_aHa5DUSeKXJMV2no35-LCZ6FZqgopQqfA=s88-c-k-c0x00ffffff-no-rj
